"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"Athletes have been subjected to overt racism in UK + EU for decades. It’s existence often is ignored, even denied |… https://t.co/LCd6oS27mT",FALSE,0,NA,"2019-04-18 22:22:17",TRUE,NA,"1119003241478610944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","L_eBlaBlaBla",0,FALSE,FALSE,NA,NA,"Miami, FL"
"@LivSexyNJ I love how you love tweeting it I was like wtf football on? How?",FALSE,0,"LivSexyNJ","2019-04-18 22:22:16",FALSE,"1119002723414888448","1119003236084719616","30348942","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheNightsHero",0,FALSE,FALSE,NA,NA,"Charlotte, NC"
"At Colorado, a Breach in Football’s Wall https://t.co/PKO1sDPFsY",FALSE,0,NA,"2019-04-18 22:22:16",FALSE,NA,"1119003235610701824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DCochran1004",0,FALSE,FALSE,NA,NA,"Herrin, Illinois"
"Legendary football coaches advocate for hurricane relief funds https://t.co/r44tFV2ZTM",FALSE,1,NA,"2019-04-18 22:22:02",FALSE,NA,"1119003177301491712",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","WCTV",1,FALSE,FALSE,NA,NA,"Tallahassee, FL"
"One more Tweet on this Beam $5 Million gift to UK to bring it all home: Did you know that, as a freshman, Booker No… https://t.co/V1Tmg3Jh4O",FALSE,0,NA,"2019-04-18 22:22:00",TRUE,NA,"1119003170791882752",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","DerbyCityPhil",0,FALSE,FALSE,NA,NA,"Louisville, KY"
"Miami Dolphins: 7-Round 2019 NFL mock draft with one week to go - National Football League News -… https://t.co/rUv7Zdwuq3",FALSE,0,NA,"2019-04-18 22:22:00",TRUE,NA,"1119003168283643904",NA,"<a href=""http://sportstreamings.com"" rel=""nofollow"">sportstream365</a>","NYSportsNews365",0,FALSE,FALSE,NA,NA,"United States"
"@ElijahOlson16 PrepStar Magazine has identified you as a college prospect via HUDL. Step 1 complete the athletic qu… https://t.co/xvTrMZoEmO",FALSE,0,"ElijahOlson16","2019-04-18 22:21:52",TRUE,NA,"1119003137405100032","979913767306735616","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"Scouts, Coaches, and GMs, here are the reasons why you should pay close attention to 2019 Draft Prospect, Jody Fort… https://t.co/gW22PmeYow",FALSE,0,NA,"2019-04-18 22:21:45",TRUE,NA,"1119003105234968576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gridiron_Crew",0,FALSE,FALSE,NA,NA,"Youngstown, OH"
"@CuseFootball Cuse football!!!",FALSE,0,"CuseFootball","2019-04-18 22:21:41",FALSE,"1118956108964478976","1119003089053409280","615169232","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichaelFults5",0,FALSE,FALSE,NA,NA,"Lysander, NY"
"Apparently its not just CFU -- an Irish football team look set to compete in Europe despite failing to qualify, aft… https://t.co/HBbPn61Wah",FALSE,1,NA,"2019-04-18 22:21:33",TRUE,NA,"1119003055205306368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","caribbeanfooty",0,FALSE,FALSE,NA,NA,"Chicago"
"@Steelersdepot Nope, what we call football is American.",FALSE,0,"Steelersdepot","2019-04-18 22:21:30",FALSE,"1118887657046593536","1119003043679354880","16806754","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","donharden2002",0,FALSE,FALSE,NA,NA,"Pittsburgh"
"How Ohio State football has changed its quarterback recruiting philosophy under Ryan Day: Buckeye Take https://t.co/nZb3JWVU0p",FALSE,0,NA,"2019-04-18 22:21:28",FALSE,NA,"1119003037601861632",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","bucksinsider",0,FALSE,FALSE,NA,NA,"Columbus Ohio"
